"271","18","21","Tondela"
"272","18","22","Vila Nova de Paiva"
"273","18","23","Viseu"
"274","18","24","Vouzela"
"275","18","1","Armamar"
"276","18","2","Carregal do Sal"
"277","18","3","Castro Daire"
"278","18","4","Cinfães"
"279","19","5","Ponta do Sol"
"280","19","6","Porto Moniz"
"281","19","7","Ribeira Brava"
"282","19","8","Santa Cruz"
"283","19","9","Santana"
"284","19","10","São Vicente"
"285","19","1","Calheta (Madeira)"
"286","19","2","Câmara de Lobos"
"287","19","3","Funchal"
"288","19","4","Machico"
"289","20","1","Porto Santo"
"290","21","1","Vila do Porto"
"291","22","5","Ribeira Grande"
"292","22","6","Vila Franca do Campo"
"293","22","1","Lagoa (São Miguel)"
"294","22","2","Nordeste"
"295","22","3","Ponta Delgada"
"296","22","4","Povoação"
"297","23","1","Angra do Heroísmo"
"298","23","2","Praia da Vitória"
"299","24","1","Santa Cruz da Graciosa"
"300","25","1","Calheta (São Jorge)"
"301","25","2","Velas"
"302","26","1","Lajes do Pico"
"303","26","2","Madalena"
"304","26","3","São Roque do Pico"
"305","27","1","Horta"
"306","28","1","Lajes das Flores"
"307","28","2","Santa Cruz das Flores"
"308","29","1","Corvo"
